Longitude,Latitude,Address
-85.26793815,35.04799792, 910 N  ORCHARD KNOB AVE
-85.25125572,35.07067855, 2815 DODSON AVE
-85.24715797,35.06701223, 2611 ANDREWS ST
-85.26872054,35.08345751, 2847 RIVERPORT RD
-85.26838177,35.08352215, 2847 RIVERPORT RD
-85.26873877,35.08323502, 2847 RIVERPORT RD
-85.26839318,35.0832355, 2847 RIVERPORT RD
-85.26782903,35.08358309, 2847 RIVERPORT RD
-85.2674915,35.08344149, 2847 RIVERPORT RD
-85.26798937,35.08340873, 2847 RIVERPORT RD
-85.26772348,35.08322726, 2847 RIVERPORT RD
-85.26772807,35.08341754, 2847 RIVERPORT RD
-85.25357037,35.07110592, 2851 ORTON ST
-85.23564843,35.08214895, 3964 GRACE AVE
-85.25328095,35.06325667, 2206 TAYLOR ST
-85.27251116,35.0542763, 1271 N  HOLTZCLAW AVE
-85.27240632,35.05432581, 1271 N  HOLTZCLAW AVE
-85.27215598,35.05444076, 1271 N  HOLTZCLAW AVE
-85.27191855,35.0545762, 1271 N  HOLTZCLAW AVE
-85.27169276,35.05465498, 1271 N  HOLTZCLAW AVE
-85.27154515,35.05473452, 1271 N  HOLTZCLAW AVE
-85.25236897,35.06601941, 2209 DAISY ST
-85.25491356,35.05394257, 1700 N  CHAMBERLAIN AVE
-85.21656537,35.08572429, 3204 HARRISON PIKE
-85.21656537,35.08572429, 3204 HARRISON PIKE
-85.21656537,35.08572429, 3204 HARRISON PIKE
-85.21948845,35.07436075, 3637 FAITH RD
-85.24524219,35.06864073, 2812 NOA ST
-85.2666276,35.04964325, 1900 PORTLAND ST
-85.25831068,35.06051159, 2015 CURTIS ST
-85.2631032,35.05073415, 2103 LAURA ST
-85.2555035,35.07592775, 3111 N  HICKORY ST
-85.26766673,35.08357095, 2847 RIVERPORT RD
-85.26744186,35.08315505, 2847 RIVERPORT RD
-85.26020497,35.04646512, 916 WHEELER AVE
-85.23391368,35.05170039, 1909 PARKWAY DR
-85.24298269,35.08221971, 3735 GRACE AVE
-85.22718865,35.05730209, 2430 LEANN CIR
-85.25016666,35.07293648, 2118 WILDER ST
-85.20521004,35.0742, 3915 LIGHTFOOT MILL RD
